parts_id,parts_name
i1-597,"#177610-04 1'' Nozzle, with Hi flo spout, full guard,splash guard,black"
i1-598,"s#1808-02 Waffle plash Guard,red"
i1-599,#2273-001 Breakaway-Non Reconnectable-3/4
i1-600,"#3360 Husky 3/4"" Reconnectable Safety Break"
i1-601,#4145B Black Full Grip Guard With Special Logo HUSKY
i1-602,"#4740B Black Full Grip Guard for V111S, Special Logo HUSKY"
i1-603,"#539603-04 Husky 1+10s XS DP Nozzle-Black Grd, W/Special Logo HUSKY"
i1-604,"#539604-03 Husky XS-DP ULG NZL With Special Logo HUSKY'',green"
i1-605,"#539604-03 1+10s XS DP Nozzle, Green Grd W/special Logo ''HUSKY"
i1-606,"#539604-05 1+10s XS DP Nozzle, Yellow Grd, W/Special Logo HUSKY''"
i1-607,#5812 Husky 1'' Safety Break
i1-608,#5969 Husky 1'' NPT Swivel/SafeTBreak Combination
i1-609,# 6310 Husky 3/4'' NPT Swivel/SafeTBreak Combination
i1-610,CME32  32mm Straight Connector
i1-611,SAML632 2 Male Adaptor
i1-612,Adaptor for STEDW63
i1-613,SEB75  63mm Entry Boot
i1-614,63mm Terminating Fitting with Test Port
i1-615,"2"" Coaxial dw Elbow 90d"
i1-616,"SGEL63 2"" EF Elbow 90d"
i1-617,"SMEL63 2"" EF Straight Connector"
i1-618,"2"" Reducer Test Boot with Test Port"
i1-619,63mm dw Tee
i1-620,32mm dia Smart Conduit (100m length)
i1-621,"TSMA63R75 63mm dia Product Pipe, Single Wall"
i1-622,"63mm dia Product Pipe, Double Wall"
i1-623,10BHMP-5830 Double Poppet Shear Valve
i1-624,"1-1/2"" Auto Bulk Nozzle"
i1-625,"2"" Kamvalok Adaptor"
i1-626,"241TPS-1000-N  1"" 2-Plane Swivel"
i1-627,"241TPS-ODBS 3/4"" NPT Swivel 2 Plane"
i1-628,5BBI-2135N Replacement Spout-Leaded
i1-629,5BBPI-2137 Replacement Spout for 11 BP
i1-630,Spout for 11BPW Nozzle
i1-631,Diaphragm S/A Kit for 11B Nozzle
i1-632,"Delivery Elbow Side Seal c/w 3"" 633F Adaptor"
i1-633,"4"" Bronze Swivel Adaptor"
i1-634,"2"" Aluminium Adaptor, BSP"
i1-635,"633A 2-1/2"" Aluminium Adaptor"
i1-636,"3"" Aluminium Camlock Adaptor"
i1-637,"2"" Adaptor"
i1-638,"2-1/2"" Dust Cap c/w 2-1/2 Adaptor, Aluminium"
i1-639,"2-1/2"" Aluminium Kamlok Dust Cap"
i1-640,"634B-0140  1-1/2"" OPW Kamlok Dust Cap"
i1-641,"2-1/2"" Dust Cap (OPW634B)"
i1-642,"3"" 634BK Lockable Dust Cap"
i1-643,"634BK-0090 OPW 2"" alum Lockable Cap"
i1-644,"634TT-7085-EVR 4"" Durafill Top Seal Cap"
i1-645,"66V-0300 3/4"" Breakaway 300lbs"
i1-646,"66V-1350 1"" Breakaway"
i1-647,8HBL-0400  Fillgard-Black for 7HB nozzle
i1-648,7H Fillgard-Yellow
i1-649,18KR-2000 2 pos rack kit
i1-650,Splashgard Black-8BL-0400
i1-651,Splashgard Green-8G-0100
i1-652,Fillgard Grey
i1-653,Fillgard Purple
i1-654,Splashgard Red-8R-0300
i1-655,Splashgard Red-R95
i1-656,Splashguard Yellow for 11 B.
i1-657,Fillgard Yellow-R95
i1-658,Handle Guard
i1-659,Scuffguard Black for 11 B Full Type
i1-660,Scuffguard Black for 11 B Full Size type
i1-661,Scuffguard Green for 11 B Full Type
i1-662,Scuffguard Grey
i1-663,Scuffguard Grey for 11 B Full Type
i1-664,Scuffguard Purple
i1-665,Scuffguard Purple for 11 B Full Type
i1-666,Scuffguard Red for 11 B Full Type
i1-667,Scuffguard Red-R95
i1-668,Scuffguard Yellow for 11 B
i1-669,Scuffguard Grey for 7H
i1-670,Scuffguard Black for 7HB Nozzle
i1-671,Half Scuffguard 11 B Green
i1-672,Half Scuffguard Purple - New
i1-673,Half Scuffguard 11 B  Yellow
i1-674,91093N ULG Nozzle w/flowlock Green Hand Insulator
i1-675,"11BPW-3102NFM Auto Nozzle DP 2 rack Grd, 2pc Grds"
i1-676,"11 BPW-9109N Auto Nozzle, DP, 1pc Green h.i, 2 Rack Grd, ULG no SSTip"
i1-677,"OPW 45-5075 Swivel 2-plane 1""M x 1""F NPT"
i1-678,5BBH-5137 Replacement Spout for 7HB Nozzle
i1-679,"7HB-5400N 1"" Auto Nozzle, Black Guard"
i1-680,01469561 Swagelok Tube Connector Body fr FX Tester
i1-681,0146971 Swagelok Tube Connection Stem fr FX Tester
i1-682,RJ-017-526-5 Diaphragm
i1-683,028-178-1 RJ Flowmeter for FX Tester
i1-684,"RJ-031-136-1 Gasket, Disc Hd"
i1-685,RJ-108-496-5 Conduit Junction Box
i1-686,RJ-111-092-5 Capacitor 17.5 MFD
i1-687,VOID
i1-688,RJ-111-661-5 Capacitor 25 MFD
i1-689,RJ-113-105-5 2 Wire Connector
i1-690,RJ-144-183-5 Check Valve & Spring (144-163-5)
i1-691,RJ-144-193-5 Packer O Ring
i1-692,RJ-144-201-5 Conduit Seal
i1-693,RJ-144-177-5 Wire Harness-17''
i1-694,RJ-188-238-4 Check Valve
i1-695,RJ-116-057-5 FX2V Leak Detector-Gasoline
i1-696,RJ-2160235-R FX2V Leak Detector-Petrol-recond
i1-697,RJ-116-059-5 FX2DV Leak Detector-Diesel
i1-698,RJ-3130025 Connector Yoke
i1-699,RJ-3230015 Functional Element Repair Kit
i1-700,RJ-3640075 Pacman Assy 1 1/2HP
i1-701,"P150S3-3T2 1 1/2HP Telescopic STP ,side outlet"
i1-702,RJ-410164-003 Capacitor 40 MFD for 2HP
i1-703,RJ-410165-001 Electrical 3 pin Connector Kit w/cable
i1-704,VOID
i1-705,RJ-8520745 3/4HP UMP W/DHD
i1-706,RJ-8520755  1 1/2HP UMP W/DHD
i1-707,410184-005 2HP STP Motor Only
i1-708,1 1/2HP STP Motor -Recond
i1-709,VOID-SEE i1000001052
i1-710,1 1/2HP STP Assy
i1-711,RJ-STP-P200U3-4-RJ2 2HP STP c/w quickset
i1-712,RJ-STP-P150U3-3-RJ2 1.5HP STP C/W Quickset - bottom outlet.
i1-713,RUUD Yardlight C/W Gear & 320W Lamp
i1-714,Canopy Light Complete
i1-715,Canopy Light
i1-716,RUUD CRelamping Stick
i1-717,320W Canopy C/W Fittings and Flat Lens
i1-718,320W DBL SKN Canopy Light With Flat Lens 240W/50HZ
i1-719,"320W DBLESKN Canopy Light W/ DRP Lens, Lamp & GR Set"
i1-720,MP320W Lamp
i1-721,Bulb for Yard Light
i1-722,Outlet Elbow O Ring (Flange Tube O Ring)
i1-723,29723 Shaft Seal (SC59038)
i1-724,45-201088 Mech Totaliser-Vista V399 (SC590556)
i1-725,Photocoupler-Enhanced
i1-726,O Ring 340 ORN for Side Cover P/MTR
i1-727,Side O Ring for Wayne Piston Meter
i1-728,Nozzle Hook for Vista
i1-729,201627 Actuator solenoid valve-SC59083
i1-730,"Pulser Kit, WIP"
i1-731,6-128346 vista diaphragm (SC59087)
i1-732,Photo Coupler
i1-733,881531-002 Vista Ballast 240v (SC59002)
i1-734,918931 Retrofit Kit (SC59086)
i1-735,EW Double Poppet Shear VL
i1-736,3/4'' EW Swivel Joint
i1-738,LP Piston Ring (Consist of CA903512 & CA903513)
i1-739,Ring Set
i1-740,Gasket Kit
i1-741,Spring CA2038 & Valve CA2059
i1-742,Piston 2 1/2''
i1-743,Connecting Rod
i1-744,Dipper
i1-745,Crankshaft FR TA20
i1-746,Retaining Ring for TA30
i1-747,"Piston 4 3/4"""
i1-748,1 1/2'' Eskay Check Valve
i1-749,Enhance Electro Mechanica Totaliser for Wayne Pump
i1-750,DL1 Keypad #4056701
i1-751,Vista Keypad Only
i1-752,VOID(use I1000001454)
i1-753,Vista Keypad with Membrane
i1-754,Nozzle Booth for Wayne Model 161L2B
i1-755,Nozzle Booth for Vista
i1-756,Outlet Elbow for 3G
i1-757,Outlet Elbow for DL1
i1-758,Dial Face
i1-759,Knob
i1-760,PCL 2101 lid
i1-761,SPR2111 Screw for Lid
i1-762,Front Decal-Analogue for PCL A10
i1-763,DS06/001 Module Board for A10
i1-764,Wayne Pist MTR Side CVR
i1-765,Wayne Piston Meter 2P176
i1-766,"1 1/2"" SC 52001 Eskay poppet valve"
i1-767,2'' SC 52003 Eskay Poppet Valve
i1-768,3/4'' Sight Glass NPT C/W Propelle
i1-769,3G/3V Totaliser (4603)
i1-770,"312020-928 2"" Interstitial Sensor Riser Cap & Adaptor"
i1-771,"312020-952 4"" Riser Cap & Ring Kit"
i1-772,329257-001 PCB Mother Board
i1-773,329260-001A Expansion Slot Board
i1-774,329356-002 4 Input Probe Interface Module for TLS-350/R
i1-775,329356-004 8 Input Sensor Module
i1-776,329358-001 Module T350 8 Int'l Sens
i1-777,329359-002 4 Relay Output Module
i1-778,VR-329359-003 4 Relay Output Module 240V
i1-779,329362-001 RS232 Interface Module
i1-780,329370-004 Printer Assy Module/Printer Door Group
i1-781,Pump Port Strainer
i1-782,8 Input Type A Sensor Interface Module for TLS350R
i1-783,VR-330020-012 Universal Sensor Mtg Kit
i1-784,VR-330020-012-EXT Universal Sensor Mtg Kit - Extended
i1-785,Non Vented Check Valve
i1-786,330020-067 cable seal kit
i1-787,330020-425 Ethernet TCP/IP Module
i1-788,330160-060 PLLD Software (0.1 & 0.2 gp)
i1-789,Module BIR Software
i1-790,VR-330160-160 Leak Detection for PLLD Software
i1-791,Module T350 EDIM cnsl VR
i1-792,330374-002 3 Output PLLD Controller Module 230V
i1-793,CIDM Wayne Module
i1-794,330404-020 Module T350 CDIM Gilbarco
i1-795,330734-001 PCB Power Supply
i1-796,330843-001 6 Input PLLD Sensor Interface Module
i1-797,331190-003 AC Input Module 230V
i1-798,Cable Null Moden
i1-799,VR-331500-308 Software & ECPU2 (PETRON)
i1-800,331898-001 IS Barrier Board
i1-801,Thermal Roll
i1-802,#576007-115 Console Transformer 230V
i1-803,Lithium Battery 3.5V
i1-804,"3"" BSP Cap Assy"
i1-805,790091-001 Overfill Alarm box 115VAC
i1-806,790095-001 Overfill Alarm Acknowledgement
i1-807,DualPoint Hydrostatic Sensor
i1-808,"794380-322 Sensor, Pan Disc Disp UL/CUL"
i1-809,VR-794380-343 Int. Sensor for Double Wall Tanks
i1-810,794380-352 Disc Containment Sump Sensor
i1-811,794390-420 Instertitial Sensor for double wall tanks
i1-812,"Magplus Probe 6ft, Atex (Shell)"
i1-813,846360-107 8' Mag 1 Plus Probe
i1-814,10ft Mag 1 Plus Probe
i1-815,2667mm Mag 1 Plus Probe (Atex) Aluminium
i1-816,10ft UL Mag 1 Probe
i1-817,"1"" Mag + Float Kit, Gasoline w/#330020-067 Cbl s.K"
i1-818,"1"" Mag + Float Kit, Diesel w/#330020-067 Cbl s.K"
i1-819,"846402-001 4"" Diesel Float Kit, 5 ft cable"
i1-820,"846402-100 2"" Gasoline 5' Mag Plus Float Kit"
i1-821,"846402-101 2"" Diesel 5' Mag Plus Float Kit"
i1-822,"847360-107 8' Series 8473 0.1gph Mag 1 Probe, 230V"
i1-823,Mag 1 Probe (9ft)
i1-824,Mag 1 Probe (9ft)
i1-825,"848260-124 TLS350R Console with Intergral Printer, 230V"
i1-826,TLS350 Plus Console with Printer
i1-827,848460-003 PLLD with Swift Check Valve
i1-828,"VR-848722-010 Gilbarco DIM Installation Kit, 10ft Cable Length"
i1-829,VR-848722-050 Display Interface 50' VRGB\TS1000 CDIM
i1-830,VR-848940-010 Software
i1-831,"VR-849604-000 Kit mag Installation Hi\AL Gas 4"" 5' Asian"
i1-832,"VR-849604-001 Kit mag Installation Hi\AL Diesel 4"" 5' Asian"
i1-833,"VR-849604-100 Gas Float Kit 2"""
i1-834,"VR-849604-101 Diesel Float Kit 2"" with 5ft Cable"
i1-835,VR-856060-060 TLS2 Console-Touch Screen
i1-836,"857080-111 12"" Mag Probe Sump Sensor - Gasoline & Diesel"
i1-838,"857080-212-  24"" Mag Probe Sump Sensor with Leak Detection"
i1-839,RJ-8800521 IQ Control Box 240V
i1-840,"5/8"" X 9"" Elaflex short hose c/w NPT fittings"
i1-841,5/8 X 9.5ft Elaflex Long Hose c/w NPT fittings
i1-842,"3/4"" X 9"" Elaflex short hose c/w NPT fittings"
i1-843,3/4 X 9.5ft Elaflex Long Hose c/w NPT fittings
i1-844,"1"" X 9"" Elaflex short hose c/w NPT fittings"
i1-845,"1"" X 12ft Elaflex Long Hose c/w NPT fittings"
i1-846,Enc500S 6H3P MPD c/w EMV Flexpay M01208A
i1-847,Endeavor 2H2P HiFlo Pump White Backlite & ttlsrs
i1-848,2H2P Electronic legacy Pump
i1-849,SK700 2H HG Dispenser unit less hose retrievers
i1-850,SK700 4H Dispenser unit with hose retrievers
i1-851,SK700 4H Dispenser unit less hose retrievers
i1-852,SK700 6H Dispenser unit with hose retrievers
i1-853,SK700 6H Dispenser unit less hose retrievers
i1-854,SK700 8H Dispenser unit with hose retrievers
i1-855,SK700 8H Dispenser unit less hose retrievers
i1-856,40FC/GREY Soudaflex Sealant
i1-857,"GRP Dispsump Corbel, Frame Rail & Kit - EL-G-E500"
i1-858,EL/G/ADV48 Disprnser Sump-Gilbarco Advantage 4H
i1-859,EL/G/LEG Dispenser Sump-Legacy
i1-860,"FL100 , 1020mm Comp Manhole cover, grey c/w composite frame (C250-25 tonnes)"
i1-861,FL7A Lifting Handle c/w Ft Lever-Shell
i1-862,FL7A-ENCL Enclosure for FL7A-SHELL
i1-863,FL90 Seal Replacement Kit
i1-864,FL120 Seal Replacement Kit
i1-865,FL180/SRK Seal Replacement Kit for FL180 Covers
i1-866,FL760/SRK Seal Replacement Kit
i1-867,FL120/MW+FL120/SK300 300mm grey cvr c/w comp Frame & Skirt
i1-868,Offset Fillchamber System
i1-869,Below Ground Remote Fill System Complete
i1-870,S2-3760/0F/U2 Remote Fillbox for UPP
i1-871,"Remote Fill sump-single wall, complete"
i1-872,Step Platform with Anti Slip Surface
i1-873,60mm Fillchamber System
i1-874,"S15CR-390/WT 1.45m dia sump,grey with watertight lid"
i1-875,1.5mm dia 12 Sided Round GRP Complete
i1-876,S16CR-3100-CDKH  1.5m dia round GRP Sump complete.
i1-877,1.533 dia 12 sided round GRP complete
i1-878,"S80-2760/GREY GRP Sump 80x80x60cm c/w Corbel, CVR & Frame"
i1-879,1.2mm dia GRPm Chamber System
i1-880,S8SB-390/WT  1.2mm GRP Chamber System
i1-881,S8SB-390/WT/D400  1.2mm GRP Solid Base Chamber Complete
i1-882,S57-3180/OF  570mm Fill Chamber System
i1-883,PEC/32 Elect Conduit Kit 32
i1-884,Seal Kit
i1-885,Access Pipe Seal Kit for Pipe OD68-79mm
i1-886,Access Pipe Seal Kit for Pipe OD68-79mm
i1-887,PSB/110 Access Pipe Seal Kit for Pipe OD90-115mm
i1-888,PSBD/50 2 Entry Seal Kit
i1-889,PSBD/75 Seal Kit - Double Sided
i1-890,PSBD/90 90mm 2 Sided Entry Seal
i1-891,PSBD/110 110mm 2 Sided Entry Seal
i1-892,PSBD/160 160mm 2 Sided Entry Seal
i1-893,S/CS/SEALANT CM Sealant Tin A/Tin B
i1-894,"SO-1120/MD 300mm dia Sump, Grey CVR & Comp Frame Complete"
i1-895,"CRGB002-10 Hose Swivel 3/4"""
i1-896,CQ10068-06 O Ring
i1-897,CKGB043 Flange
i1-898,VOID
i1-899,T17962-G1 PCB LCD Main Display Assy
i1-900,Flexible Cable
i1-901,"M00150A001 Cable, E-Cal Switch"
i1-902,"M02971A001 Cable, Controlller Valve"
i1-903,PA024TC21S Piston meter -Adv
i1-904,Q10651-02 Support brkt bd Locking
i1-905,CT18350-G11E Pulser For Endeavor
i1-906,04-1010-52 Diaphragm buna-n for T4 pump
i1-907,#21993423 Discharge Elbow
i1-908,Crankpin Cap
i1-909,30215263 LP Piston - 4 '' Set for mdl 242
i1-910,VOID
i1-911,VOID
i1-912,Bearing
i1-913,"1/3"" (10mm) x 1mm thk x 6m Long Alum Tube"
i1-914,Use I100000333
i1-915,"Cat 5E cable, AMP brand"
i1-916,Comp Ring 9mm thk x 37'' ID x 40'' OD x 24 holes
i1-917,"Vesta Comp Oil 200L, ISO68"
i1-918,"EM-SW  Push Button Switch,both Side NC"
i1-919,KitPC Interface USB Self Service
i1-920,Kit USB Keys + SW Self Service
i1-922,1.5 x 6m Long GI C Pipe
i1-923,1.5'' Kinco/Yodoshi GI Elbow 90 deg
i1-924,2'' Yodoshi/STP GI Elbow
i1-925,"Ht Bolt, nut & 2 washers (z/p) 7/16"" x 2"""
i1-926,Pedestal Housing for 1 sided Cardreader ( Chevron)
i1-927,VOID
i1-928,VOID
i1-930,Comp ring x 26 holes 2 wide
i1-931,Diode IN5355
i1-933,IC MM74HC244N
i1-934,CD4049 IC
i1-935,Diode IN4148AN
i1-936,VOID
i1-937,Opto Coupler CNY-17-2
i1-938,VOID
i1-939,"18"" CP Manhole Cover"
i1-940,310mm CP Manhole Cover
i1-941,18 FRP Manhole Cover
i1-942,"38"" (96cm) FRP Manhole Cover"
i1-943,"400mm (15.5"") FRP m/hole cover"
i1-944,Pedestal Stand for Clipsal Inflator
i1-945,290mm Manhole Cover
i1-946,390mm CP Manhole Cover
i1-947,450mm Manhole Cover x 35mm thick
i1-948,"16"" FRP Manhole Cover, Fibrelite ( 410mm )"
i1-949,"37"" Manhole Cover, FRP c/w skirting"
i1-950,"39"" FRP Manhole Cover"
i1-951,MK8P Omron Relay c/w Base
i1-952,Resistor 1.3 kohm 3 watt
i1-953,Retrofit Kit for 1 Sided Dresser Wayne 4V Series
i1-954,Rubber Sheet Neoprene 10 x 77 x 2000mm
i1-955,5 Gal Spill Containment for Tank Gauging
i1-956,Bare Compresor
i1-957,28pin IC Socket
i1-958,40 pin socket for IC
i1-959,"Lower Panel Sticker for Legacy-Grey, Tiger Silksc"
i1-960,"Twin Chuck , ''Mada, 230mm"
i1-961,VOID
i1-962,1P/2222A Transistor
i1-963,2N2222A Transistor
i1-964,GW20NB60HD Trans for Mag VFC
i1-965,Gast. Compressor 230v50hz c/w conversion kit
i1-966,Ctrllik ACC-Temp & Humidity sensor
i1-967,Cube 56/33  transfer pump 230v/50hz
i1-968,Variable Frequency/speed Controller
i1-969,FE Petro Mechanical line leak detector -DIESEL
i1-970,FE Petro Mechanical line leak detector-GASOLINE
i1-971,2HP STPVS2-VL2-12BN  F.E Petro STP Asy 50hz 240v
i1-972,"5/8"" Futura h'wall hose. Goodyear"
i1-973,"3/4"" Futura h'wall hose. Goodyear"
i1-974,"1"" Futura h'wall hose. Goodyear"
i1-975,VOID
i1-976,#6130  3/4'' Husky PCC Safe-T Break
i1-977,#6301 Husky 1'' Husky PCC Safe-T Break
i1-978,"REB-002 2"" Rubber Entry Boot"
i1-979,"REB-003 3"" Rubber Entry Boot"
i1-980,OCV Flow Control Valve 3'' Flanged
i1-981,"TCS Meter, Gallon, Vr prtr str/elim, 4'' flg conn"
i1-982,3/4'' Win Submicron Filter
i1-983,1'' Win Submicron Filter
i1-984,"Vista LCD, Cash Price per unit # 7512"
i1-985,"Wayne Vista LCD, Large sale display #8078"
i1-986,CAM321P  32mm Male Thread Adaptor
i1-987,"SAML632 2"" Adaptor, male"
i1-988,"SAFL632 63mm x 2"" Adaptor, Female (HDPE/Brass)"
i1-989,STEL63 Tee (Black)
i1-990,TCON50R100 Smart Conduit Pipe 50mm x 100m length
i1-991,TSMA63R75 Ecosmart Single Wall pipe x 75m Long
i1-992,TSMAHD63R75 Smartflex DW pipe 63mm x 75m length
i1-993,Ecosmart SW 50mm Pipe x 75 long
i1-994,"104FG-1200 12"" manhole with finger grip cover & 10"" Skirt"
i1-995,10P-0152 10plus d/p shear valve
i1-996,"Emergency Vent 8, alum"
i1-997,"6110-3710 37"" metal manhole cover with skirting,10"""
i1-998,11B Scuffgard-BLK Petron Diesel Silkscreened
i1-999,11B Scuffgard Green - Petron Ron97 Silkscreened
i1-1000,11B Scuffgard-Yellow Petron with Ron95 Silkscreened
i1-1001,"Fuel Disp Filter 3/4"""
i1-1002,"Fuel Dispensing Filter 1"""
i1-1004,"1"" Emco Wheaton Hose Swivel"
i1-1005,"3"" Evertite Lockable Dust Cap, Brass"
i1-1006,FE Petro Variable Speed Controller SC70235
i1-1007,FEP Leak Detector-Diesel 70231
i1-1008,FEP Leak Detector-Petrol SC70230
i1-1009,2hp variable speed motor PMA-VS2 (SC70238)
i1-1010,2hp STPVS2-VL2 12 variable speed STP (SC70234)
i1-1011,A10 Analogue Window / Dial Glass for PCLA10
i1-1012,PCL-DS36 Analog Dial PSI/KPA (SC58150) for A10
i1-1013,MSV-20MAX Wayne Bare Compressor hd 2 stage
i1-1014,Vista 4V387 Bezel Assy
i1-1015,1'' Fogs Primary Pipe
i1-1016,
i1-1017,330020-416 Non-venteed check valve w/plld ( replace 33020
i1-1018,ATEX mag plus probe 9ft
i1-1019,"Magplis Probe, Atex 2.5m water detection"
i1-1020,"846402-000 Gasoline Float Kit 4"", 5ft cable"
i1-1021,"VR-846402-0124'' Float Light Oil, 10ft Cable"
i1-1022,848460-001 PLLD without swiftcheck  valve
i1-1023,VR-848480-003 PLLD with swiftcheck  valve
i1-1024,Encore 500S 2H1P HG MPD c/w EMV Flexpay
i1-1025,"10"" Deep Flared FRP Skirt for FL90 Cover"
i1-1026,"M02227K002 Proportionate valve,ENC300"
i1-1027,"M01785A003 PCA, Door Node 2 Encore"
i1-1028,Cable 1.5mm x 3 wire -blue
i1-1029,Cable 1.5mm x 3 Wire - Yellow
i1-1030,PMA-VS2 -2HP FE Petro pump motor assy.
i1-1031,#1473 Husky Spout Assy
i1-1032,VOID
i1-1033,50mm Male Thread Adaptor
i1-1034,SAFFQ63 63mm square Flange kit
i1-1035,SAML50112 50mm Male Adaptor
i1-1036,SDS4215 UL Dispenser Sump 42x15
i1-1037,"SEB63 2"" Entry Boot"
i1-1038,SEBE50 50mm EF Entry Boot
i1-1039,SEBE75 75mm EF Entry Boot
i1-1040,SETFVC63 63mm Terminating Fitting
i1-1041,SMEL50 50mm Straight Connector
i1-1042,STS4230 UL Tank Sump 42 Base
i1-1043,"STT6100 Test Tube, 100m Coil"
i1-1044,RJ-1720035 O Ring Kit for funtional element
i1-1045,EMV Retrofit Kit for Encore 500S-2 Sided
i1-1046,
i1-1047,"2"" Kinco/Yodoshi GI nipple"
i1-1048,ENCORE DUAL DISPENSER
i1-1049,ENCORE 4H2P MPP C/W HOSES
i1-1050,dl1 computer base
i1-1051,void-use I100000906
i1-1052,Diaphragm for leak detector
i1-1053,TCS 700-20SP Rotary meter c/w accessories
i1-1054,NUPI 63 mm Counter Flange Male
i1-1055,NUPI Assembly Kit
i1-1056,STPM14 NUPI Pressure Test Adapter Female
i1-1057,PI Gilbarco Box
i1-1059,Above Ground Tank Installation Kit
i1-1060,"Data Cable(for ATG)- Local Component, Delivery & Installation(per meter)"
i1-1061,VR-794380-621 Ground Water Sensor
i1-1062,Site Scoping Charges
i1-1063,Warehousing Charges per site
i1-1064,Jucntion Box (per unit)
i1-1065,Reimbursable for FOB & DDU
i1-1066,Steel Skid Tank-4000 IG
i1-1067,Encore 300 2H1P Hi gal Dispenser
i1-1068,4 HOSES MPD ENCORE 500S 4X4 c/w EMV Flexpay M01208A
i1-1069,Tyre Inflator Redress - Body Paint and Replacing Accessories - Airtec Digital Tyre Inflator
i1-1070,"JT1500GB-E Endeavor 2H2P HiFlo pump,white backlight & totalisers"
i1-1071,"#C7201- 1"" Catlow swivel"
i1-1072,"#C86NT 3/4"" safety break"
i1-1073,"#C100N 1"" Catlow breakaway"
i1-1074,#C720-3/4 Catlow swivel
i1-1075,Metal C channel bracket-powder coated
i1-1076,4 HOSES SMPD EN300 NA1 4x4
i1-1077,Conversion Table Sticker
i1-1078,TRANSTANK P31 self bundled tank
i1-1079,"Vent,emergency pressure relief 200mm, 24KPA-202F-200-24"
i1-1080,"178S-6130 OPW 2"" horizontal emergency shut off valve"
i1-1081,Temporary Relocation(in cabin) for TLS Console and Reconfigure TLS/ATG Setting
i1-1082,Site Scoping Charges
i1-1083,STABILIZER BAR
i1-1084,Installation Charges - Dispenser Sump
i1-1085,Installation & Comm
i1-1086,2340R3/12 Ingersol air compressor c/w 3hp mtr & 220 litre air receiver tank
i1-1087,"1"" Fill Guard - Diesel"
i1-1088,CIMTEK 700200/800-30 Ultra high filkter
i1-1089,Relocate and Reinstall Tyre Inflator
i1-1090,RJVR-XM-RJ-1.5B Red jacket STP quickset (410141-008) c/w IQ Box & trapper intake filter
i1-1091,T20011-G1 Controller board assy
i1-1092,ADVANTAGE CONTROLLER BOARD G3
i1-1093,Refurbished Gilbarco 2H1P Advantage
i1-1094,Refurbished Gilbarco 4H2P Advantage
i1-1095,Pedestal for card reader-double sided
i1-1096,Pedestal for card reader-single sided
i1-1097,Ingersol mdl 2340 bare compressor
i1-1098,Mitti cable 20/0.12mm x 2 core x 100m roll
i1-1099,VOID
i1-1101,71.1243 faceplate-Petron
i1-1102,31.0214 Gast compressor 230v 50 hz c/w conversion kit
i1-1103,71.0932 Pressure converrsion kit
i1-1104,Stenhoj 759200 lp valve repair kit
i1-1105,Stenhoj 759210 hp valve repair kit
i1-1106,Stenhoj 759800 lp piston & valve kit
i1-1107,Stenhoj 759850 hp piston & valve kit
i1-1108,Stenhoj 759709 packing kit
i1-1109,Stenhoj 646860 hp conecting rod c/w pin & bush
i1-1110,Stenhoj 646810 connecting rod
i1-1111,Stenhoj 347931 crank shaft
i1-1112,Stenhoj 212202 inner ring
i1-1113,Stenhoj 212203 needle ring
i1-1114,Warehouse Charges
i1-1115,Reimbursables - for FOB and DDU
i1-1116,"STP installation, Commissioning & Training Charges"
i1-1117,S16 CORBEL
i1-1118,Stabilizer bar for SD4721 c/w bolts & nuts
i1-1119,SDS4721 dispenser sump c/w bracket
i1-1120,bracket for legacy sump
i1-1121,"42"" FRP manhole cover c/w skirt"
i1-1122,"12"" manhole cover c/w skirt"
i1-1123,ANGIN tyre pressure button panel 90mmx 34mm
i1-1124,M01785A003 PCA door node2 encore (main display)
i1-1125,Shear valve rail
i1-1126,FEP SCI smart controller #70229
i1-1127,Digital PCL module D10 # DS01/012
i1-1128,Rubber sheet neoprene 10x77x2000mm
i1-1129,"PCB mounting plate,metal for 4x4"
i1-1130,400mm manhole cover
i1-1131,Interstitial sensor
i1-1132,"2"" interstitial sensor riser cap & adaptior"
i1-1134,2X2m data UTP CAT5E patch cord c/w RJ45 plug/boot x 1
i1-1135,"safety shoe,black,lowcut,steel toe,steel plate, RHINO #C-101SP"
i1-1136,Kinki spray gun set
i1-1137,Jasic ARC 160 Inveeter welding machine
i1-1138,5kg Power weld 2.6mm welding rod
i1-1139,Printed white envelopes
i1-1140,CTP/R/CORBEL/100 Corbel test plate for S100 sump systems
i1-1141,ZVA2 4.1 DSA EK044 Black EK652 auto nozzle c/w splash guard
i1-1142,ZVA2 4.1 RDSA EK044 Yellow EK652 auto nozzle c/w splash guard
i1-1143,ZVA2 4.1 RDSA EK044 Green EK652 auto nozzle c/w splash guard
i1-1144,"Elaflex Slimline 16x3.05m both side V16-1"" cr both sides KS16 black one side CS16 Green"
i1-1145,"Elaflex Slimline 16x3.05m both side V16-1"" cr both sides KS16 black one side CS Yellow"
i1-1146,"Elaflex Slimline 16x3.05m both side V16-1"" cr both sides KS16 black one side CS16 Black"
i1-1147,"Elaflex slimline 25x4m c/w both sides V25-1"" cr"
i1-1148,848260-024 TLS-350 Plus console with integral printer 240v
i1-1149,329399-001 five input ground water sensor module
i1-1150,VR-857060-111 Mag/pan sump sensor
i1-1151,Price per liter-E500S 426x204mm-6H
i1-1152,Price per liter-E500S-426x204mm-4H
i1-1153,Price per liter-E500S-426x204mm-2H
